Dataset,Fold,Method,Runtime_Seconds,Fitness_Evaluations
Albrecht,1,ABE,0.07031757943332195,0
Albrecht,1,GA-ABE,8.652739027515054,1000
Albrecht,1,PSO-ABE,4.698078418150544,1000
Albrecht,1,DE-ABE,3.3888588212430477,1000
Albrecht,1,GWO-ABE,7.046968027949333,1000
Albrecht,1,WOA-ABE,6.881818041205406,1000
Albrecht,1,FAABE,7.671335665509105,1000
Albrecht,2,ABE,0.0032140109688043594,0
Albrecht,2,GA-ABE,8.945545930415392,1000
Albrecht,2,PSO-ABE,2.6948466394096613,1000
Albrecht,2,DE-ABE,5.487376948818564,1000
Albrecht,2,GWO-ABE,7.065522000193596,1000
Albrecht,2,WOA-ABE,4.178196769207716,1000
Albrecht,2,FAABE,11.267984202131629,1000
Albrecht,3,ABE,0.0023709964007139206,0
Albrecht,3,GA-ABE,6.26604113355279,1000
Albrecht,3,PSO-ABE,3.0071348808705807,1000
Albrecht,3,DE-ABE,7.475931398570538,1000
Albrecht,3,GWO-ABE,6.992647387087345,1000
Albrecht,3,WOA-ABE,2.519906708970666,1000
Albrecht,3,FAABE,12.911662198603153,1000
Albrecht,4,ABE,0.0022596661001443863,0
Albrecht,4,GA-ABE,4.230365362018347,1000
Albrecht,4,PSO-ABE,3.4626090116798878,1000
Albrecht,4,DE-ABE,9.002087078988552,1000
Albrecht,4,GWO-ABE,4.2928682286292315,1000
Albrecht,4,WOA-ABE,3.1068878285586834,1000
Albrecht,4,FAABE,14.36623952537775,1000
Albrecht,5,ABE,0.0006812773644924164,0
Albrecht,5,GA-ABE,3.392836131155491,1000
Albrecht,5,PSO-ABE,6.567648323252797,1000
Albrecht,5,DE-ABE,7.521224200725555,1000
Albrecht,5,GWO-ABE,3.320970855653286,1000
Albrecht,5,WOA-ABE,5.712256928905845,1000
Albrecht,5,FAABE,11.14513316936791,1000
Albrecht,6,ABE,0.0007180534303188324,0
Albrecht,6,GA-ABE,6.092623565346003,1000
Albrecht,6,PSO-ABE,7.123552640900016,1000
Albrecht,6,DE-ABE,3.965155463665724,1000
Albrecht,6,GWO-ABE,4.427162054926157,1000
Albrecht,6,WOA-ABE,7.113553039729595,1000
Albrecht,6,FAABE,8.21588478796184,1000
Albrecht,7,ABE,0.0007477123290300369,0
Albrecht,7,GA-ABE,8.120882360264659,1000
Albrecht,7,PSO-ABE,5.998759292066097,1000
Albrecht,7,DE-ABE,3.222205063328147,1000
Albrecht,7,GWO-ABE,6.179160388186574,1000
Albrecht,7,WOA-ABE,7.077907806262374,1000
Albrecht,7,FAABE,5.5311849396675825,1000
Albrecht,8,ABE,0.0022656768560409546,0
Albrecht,8,GA-ABE,9.000726545229554,1000
Albrecht,8,PSO-ABE,4.286654517054558,1000
Albrecht,8,DE-ABE,3.394176183268428,1000
Albrecht,8,GWO-ABE,7.156061476096511,1000
Albrecht,8,WOA-ABE,6.670500637963414,1000
Albrecht,8,FAABE,7.2987676076591015,1000
Albrecht,9,ABE,0.0020942315459251404,0
Albrecht,9,GA-ABE,9.189016070216894,1000
Albrecht,9,PSO-ABE,2.2658467683941126,1000
Albrecht,9,DE-ABE,5.248026123270392,1000
Albrecht,9,GWO-ABE,7.230056094005704,1000
Albrecht,9,WOA-ABE,4.427830532193184,1000
Albrecht,9,FAABE,10.695370005443692,1000
Albrecht,10,ABE,0.003104042261838913,0
Albrecht,10,GA-ABE,7.292434422299266,1000
Albrecht,10,PSO-ABE,4.8345724400132895,1000
Albrecht,10,DE-ABE,9.142371783033013,1000
Albrecht,10,GWO-ABE,2.953803787007928,1000
Albrecht,10,WOA-ABE,4.520812360569835,1000
Albrecht,10,FAABE,12.282446352764964,1000
China,1,ABE,0.0013330969959497452,0
China,1,GA-ABE,5.2471782602369785,1000
China,1,PSO-ABE,7.306274870410562,1000
China,1,DE-ABE,4.743377383798361,1000
China,1,GWO-ABE,4.05402841232717,1000
China,1,WOA-ABE,7.11399126239121,1000
China,1,FAABE,9.327703427523375,1000
China,2,ABE,0.0006568282842636108,0
China,2,GA-ABE,7.367244448512793,1000
China,2,PSO-ABE,6.867057042196393,1000
China,2,DE-ABE,3.270238395780325,1000
China,2,GWO-ABE,5.384797271341085,1000
China,2,WOA-ABE,7.226886615157127,1000
China,2,FAABE,6.0577641278505325,1000
China,3,ABE,0.0006651170551776886,0
China,3,GA-ABE,8.901957727968693,1000
China,3,PSO-ABE,5.543578919023275,1000
China,3,DE-ABE,3.3211090583354235,1000
China,3,GWO-ABE,6.489660948514938,1000
China,3,WOA-ABE,7.264818476513028,1000
China,3,FAABE,6.310004388913512,1000
China,4,ABE,0.0034329574555158615,0
China,4,GA-ABE,8.864625314250588,1000
China,4,PSO-ABE,4.21108958683908,1000
China,4,DE-ABE,3.3207284845411777,1000
China,4,GWO-ABE,7.0193904004991055,1000
China,4,WOA-ABE,6.880368342623115,1000
China,4,FAABE,8.423725854605436,1000
China,5,ABE,0.002367030829191208,0
China,5,GA-ABE,9.007738834246993,1000
China,5,PSO-ABE,2.0949978549033403,1000
China,5,DE-ABE,5.633178152143955,1000
China,5,GWO-ABE,7.226271498948336,1000
China,5,WOA-ABE,3.961072402074933,1000
China,5,FAABE,11.427331332117319,1000
China,6,ABE,0.0030372105538845062,0
China,6,GA-ABE,6.241756120696664,1000
China,6,PSO-ABE,3.0175949297845364,1000
China,6,DE-ABE,7.45445323176682,1000
China,6,GWO-ABE,6.830526199191809,1000
China,6,WOA-ABE,2.555953288450837,1000
China,6,FAABE,15.27352349460125,1000
China,7,ABE,0.002287900075316429,0
China,7,GA-ABE,3.420133925974369,1000
China,7,PSO-ABE,4.807764580473304,1000
China,7,DE-ABE,9.115307100117207,1000
China,7,GWO-ABE,3.27596596814692,1000
China,7,WOA-ABE,4.763598047196865,1000
China,7,FAABE,11.90293350443244,1000
China,8,ABE,0.001970900222659111,0
China,8,GA-ABE,5.093387903645635,1000
China,8,PSO-ABE,7.297679657116532,1000
China,8,DE-ABE,5.219038503244519,1000
China,8,GWO-ABE,4.117685995995998,1000
China,8,WOA-ABE,6.731014626100659,1000
China,8,FAABE,9.501649068668485,1000
China,9,ABE,0.0006557870656251907,0
China,9,GA-ABE,6.879502745345235,1000
China,9,PSO-ABE,7.28009919077158,1000
China,9,DE-ABE,3.5140882711857557,1000
China,9,GWO-ABE,5.451835438609123,1000
China,9,WOA-ABE,7.150445079430938,1000
China,9,FAABE,6.667138105258346,1000
China,10,ABE,0.0014535244554281235,0
China,10,GA-ABE,9.0529611594975,1000
China,10,PSO-ABE,4.582605769857764,1000
China,10,DE-ABE,4.139421196654439,1000
China,10,GWO-ABE,6.858608167618513,1000
China,10,WOA-ABE,6.0134341809898615,1000
China,10,FAABE,10.052954956889153,1000
COCOMO81,1,ABE,0.00170791894197464,0
COCOMO81,1,GA-ABE,6.9830379243940115,1000
COCOMO81,1,PSO-ABE,2.470352550968528,1000
