Dataset,Fold,Method,Iteration,Best_Training_MMRE,Fitness_Evaluations
Albrecht,1,GA-ABE,0,0.8228304982185364,10
Albrecht,1,GA-ABE,1,0.8228304982185364,20
Albrecht,1,GA-ABE,2,0.7819228768348694,30
Albrecht,1,GA-ABE,3,0.7819228768348694,40
Albrecht,1,GA-ABE,4,0.7750871777534485,50
Albrecht,1,GA-ABE,5,0.7448457479476929,60
Albrecht,1,GA-ABE,6,0.6732158660888672,70
Albrecht,1,GA-ABE,7,0.6732158660888672,80
Albrecht,1,GA-ABE,8,0.6732158660888672,90
Albrecht,1,GA-ABE,9,0.6732158660888672,100
Albrecht,1,GA-ABE,10,0.6732158660888672,110
Albrecht,1,GA-ABE,11,0.6495665907859802,120
Albrecht,1,GA-ABE,12,0.6124777793884277,130
Albrecht,1,GA-ABE,13,0.6121178865432739,140
Albrecht,1,GA-ABE,14,0.6041339635848999,150
Albrecht,1,GA-ABE,15,0.6041339635848999,160
Albrecht,1,GA-ABE,16,0.6012557148933411,170
Albrecht,1,GA-ABE,17,0.6012557148933411,180
Albrecht,1,GA-ABE,18,0.6012434959411621,190
Albrecht,1,GA-ABE,19,0.6012434959411621,200
Albrecht,1,GA-ABE,20,0.6012434959411621,210
Albrecht,1,GA-ABE,21,0.6012434959411621,220
Albrecht,1,GA-ABE,22,0.6012434959411621,230
Albrecht,1,GA-ABE,23,0.6012434959411621,240
Albrecht,1,GA-ABE,24,0.6012434959411621,250
Albrecht,1,GA-ABE,25,0.6012434959411621,260
Albrecht,1,GA-ABE,26,0.6012434959411621,270
Albrecht,1,GA-ABE,27,0.6011036038398743,280
Albrecht,1,GA-ABE,28,0.6010087132453918,290
Albrecht,1,GA-ABE,29,0.6010087132453918,300
Albrecht,1,GA-ABE,30,0.5995281934738159,310
Albrecht,1,GA-ABE,31,0.5995281934738159,320
Albrecht,1,GA-ABE,32,0.5995281934738159,330
Albrecht,1,GA-ABE,33,0.5995281934738159,340
Albrecht,1,GA-ABE,34,0.5992386341094971,350
Albrecht,1,GA-ABE,35,0.5992386341094971,360
Albrecht,1,GA-ABE,36,0.5992386341094971,370
Albrecht,1,GA-ABE,37,0.5991998314857483,380
Albrecht,1,GA-ABE,38,0.5991998314857483,390
Albrecht,1,GA-ABE,39,0.5991998314857483,400
Albrecht,1,GA-ABE,40,0.5991998314857483,410
Albrecht,1,GA-ABE,41,0.5991238951683044,420
Albrecht,1,GA-ABE,42,0.5991238951683044,430
Albrecht,1,GA-ABE,43,0.5991238951683044,440
Albrecht,1,GA-ABE,44,0.5991238951683044,450
Albrecht,1,GA-ABE,45,0.5991238951683044,460
Albrecht,1,GA-ABE,46,0.5991238951683044,470
Albrecht,1,GA-ABE,47,0.5991238951683044,480
Albrecht,1,GA-ABE,48,0.5991238951683044,490
Albrecht,1,GA-ABE,49,0.5991238951683044,500
Albrecht,1,GA-ABE,50,0.5991238951683044,510
Albrecht,1,GA-ABE,51,0.5990442633628845,520
Albrecht,1,GA-ABE,52,0.599016547203064,530
Albrecht,1,GA-ABE,53,0.599016547203064,540
Albrecht,1,GA-ABE,54,0.5988999009132385,550
Albrecht,1,GA-ABE,55,0.5986742973327637,560
Albrecht,1,GA-ABE,56,0.5986742973327637,570
Albrecht,1,GA-ABE,57,0.5986190438270569,580
Albrecht,1,GA-ABE,58,0.5986190438270569,590
Albrecht,1,GA-ABE,59,0.5983866453170776,600
Albrecht,1,GA-ABE,60,0.5983866453170776,610
Albrecht,1,GA-ABE,61,0.5983185768127441,620
Albrecht,1,GA-ABE,62,0.5981863737106323,630
Albrecht,1,GA-ABE,63,0.5981863737106323,640
Albrecht,1,GA-ABE,64,0.5981701612472534,650
Albrecht,1,GA-ABE,65,0.5981701612472534,660
Albrecht,1,GA-ABE,66,0.5981701612472534,670
Albrecht,1,GA-ABE,67,0.5981701612472534,680
Albrecht,1,GA-ABE,68,0.5981701612472534,690
Albrecht,1,GA-ABE,69,0.5981701612472534,700
Albrecht,1,GA-ABE,70,0.5981701612472534,710
Albrecht,1,GA-ABE,71,0.5981701612472534,720
Albrecht,1,GA-ABE,72,0.5981701612472534,730
Albrecht,1,GA-ABE,73,0.597604513168335,740
Albrecht,1,GA-ABE,74,0.597604513168335,750
Albrecht,1,GA-ABE,75,0.597604513168335,760
Albrecht,1,GA-ABE,76,0.597604513168335,770
Albrecht,1,GA-ABE,77,0.597604513168335,780
Albrecht,1,GA-ABE,78,0.597604513168335,790
Albrecht,1,GA-ABE,79,0.597604513168335,800
Albrecht,1,GA-ABE,80,0.597604513168335,810
Albrecht,1,GA-ABE,81,0.597604513168335,820
Albrecht,1,GA-ABE,82,0.597604513168335,830
Albrecht,1,GA-ABE,83,0.597604513168335,840
Albrecht,1,GA-ABE,84,0.597604513168335,850
Albrecht,1,GA-ABE,85,0.597604513168335,860
Albrecht,1,GA-ABE,86,0.597604513168335,870
Albrecht,1,GA-ABE,87,0.597604513168335,880
Albrecht,1,GA-ABE,88,0.597604513168335,890
Albrecht,1,GA-ABE,89,0.597604513168335,900
Albrecht,1,GA-ABE,90,0.597604513168335,910
Albrecht,1,GA-ABE,91,0.597604513168335,920
Albrecht,1,GA-ABE,92,0.597604513168335,930
Albrecht,1,GA-ABE,93,0.597604513168335,940
Albrecht,1,GA-ABE,94,0.5962798595428467,950
Albrecht,1,GA-ABE,95,0.5962798595428467,960
Albrecht,1,GA-ABE,96,0.5962798595428467,970
Albrecht,1,GA-ABE,97,0.5962798595428467,980
Albrecht,1,GA-ABE,98,0.5962798595428467,990
Albrecht,1,GA-ABE,99,0.5960819125175476,1000
Albrecht,1,PSO-ABE,0,0.8962613344192505,10
Albrecht,1,PSO-ABE,1,0.8736134767532349,20
Albrecht,1,PSO-ABE,2,0.7672592401504517,30
Albrecht,1,PSO-ABE,3,0.7672592401504517,40
Albrecht,1,PSO-ABE,4,0.7443199157714844,50
Albrecht,1,PSO-ABE,5,0.7443199157714844,60
Albrecht,1,PSO-ABE,6,0.7443199157714844,70
Albrecht,1,PSO-ABE,7,0.7173567414283752,80
Albrecht,1,PSO-ABE,8,0.7173567414283752,90
Albrecht,1,PSO-ABE,9,0.7173567414283752,100
Albrecht,1,PSO-ABE,10,0.7173567414283752,110
Albrecht,1,PSO-ABE,11,0.7173567414283752,120
Albrecht,1,PSO-ABE,12,0.7071171402931213,130
Albrecht,1,PSO-ABE,13,0.7071171402931213,140
Albrecht,1,PSO-ABE,14,0.7071171402931213,150
Albrecht,1,PSO-ABE,15,0.7071171402931213,160
Albrecht,1,PSO-ABE,16,0.7071171402931213,170
Albrecht,1,PSO-ABE,17,0.7071171402931213,180
Albrecht,1,PSO-ABE,18,0.7071171402931213,190
Albrecht,1,PSO-ABE,19,0.7071171402931213,200
Albrecht,1,PSO-ABE,20,0.7071171402931213,210
Albrecht,1,PSO-ABE,21,0.7071171402931213,220
Albrecht,1,PSO-ABE,22,0.7070391774177551,230
Albrecht,1,PSO-ABE,23,0.7060832381248474,240
Albrecht,1,PSO-ABE,24,0.7060832381248474,250
Albrecht,1,PSO-ABE,25,0.7060832381248474,260
Albrecht,1,PSO-ABE,26,0.7060832381248474,270
Albrecht,1,PSO-ABE,27,0.7040533423423767,280
Albrecht,1,PSO-ABE,28,0.6985753774642944,290
Albrecht,1,PSO-ABE,29,0.6985753774642944,300
Albrecht,1,PSO-ABE,30,0.6985753774642944,310
Albrecht,1,PSO-ABE,31,0.6985753774642944,320
Albrecht,1,PSO-ABE,32,0.6985753774642944,330
Albrecht,1,PSO-ABE,33,0.6985753774642944,340
Albrecht,1,PSO-ABE,34,0.6985753774642944,350
Albrecht,1,PSO-ABE,35,0.698052167892456,360
Albrecht,1,PSO-ABE,36,0.698052167892456,370
Albrecht,1,PSO-ABE,37,0.698052167892456,380
Albrecht,1,PSO-ABE,38,0.698052167892456,390
Albrecht,1,PSO-ABE,39,0.698052167892456,400
Albrecht,1,PSO-ABE,40,0.698052167892456,410
Albrecht,1,PSO-ABE,41,0.698052167892456,420
Albrecht,1,PSO-ABE,42,0.6977075934410095,430
Albrecht,1,PSO-ABE,43,0.6977075934410095,440
Albrecht,1,PSO-ABE,44,0.6972558498382568,450
